date,roles
2023-06-03 18:00,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, BS_2, Hôte_2, Service_3, Aide-serveur_3, Sur appel | Aide-serveur_2, Aide-serveur_5, Hôte, BS_3"
2023-06-03 18:30,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, BS_2, Hôte_2, Service_3, Aide-serveur_3, Sur appel | Aide-serveur_2, Aide-serveur_5, Hôte, BS_3"
2023-06-03 19:00,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, BS_2, Hôte_2, Service_3, Aide-serveur_3, Sur appel | Aide-serveur_2, Aide-serveur_5, Hôte, BS_3"
2023-06-03 19:30,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, BS_2, Hôte_2, Service_3, Aide-serveur_3, Sur appel | Aide-serveur_2, Aide-serveur_5, Hôte, BS_3"
2023-06-03 20:00,"Aide-serveur_6, Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, BS_2, Hôte_2, Service_3, Aide-serveur_3, Sur appel | Aide-serveur_2, Aide-serveur_5, Hôte, BS_3"
2023-06-03 20:30,"Aide-serveur_6, Hôtesse bookenda_2, Aide-serveur_4, Aide-serveur_2, Passe Plat_2, BS_2, Hôte_2, Service_3, Aide-serveur_3, Sur appel | Aide-serveur_2, Aide-serveur_5, Hôte, BS_3"
2023-06-03 21:00,"Aide-serveur_6, Hôtesse bookenda_2, Aide-serveur_4, Passe Plat_2, BS_2, Hôte_2, Aide-serveur_3, Aide-serveur_5, BS_3"
2023-06-03 21:30,"Aide-serveur_6, Hôtesse bookenda_2, Aide-serveur_4, Passe Plat_2, BS_2, Hôte_2, Aide-serveur_3, Aide-serveur_5, BS_3"
2023-06-03 22:00,"Aide-serveur_6, Aide-serveur_4, Passe Plat_2, BS_2, Hôte_2, Aide-serveur_5"
2023-06-03 22:30,"Aide-serveur_6, Aide-serveur_4, Passe Plat_2, BS_2, Hôte_2, Aide-serveur_5"
2023-06-03 23:00,"Aide-serveur_6, Passe Plat_2, Hôte_2, BS_2, Aide-serveur_5"
2023-06-03 23:30,"Aide-serveur_6, Passe Plat_2, Hôte_2, BS_2, Aide-serveur_5"
2023-06-03 00:00,"Aide-serveur_6, Passe Plat_2, Hôte_2, BS_2, Aide-serveur_5"
2023-06-03 00:30,"Aide-serveur_6, BS_2"
2023-06-03 01:00,"Aide-serveur_6, BS_2"
2023-06-04 10:30,"BS, Hôtesse bookenda"
2023-06-04 11:00,"Sur appel | Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-04 11:30,"Sur appel | Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-04 12:00,"Sur appel | Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-04 12:30,"Sur appel | Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-04 13:00,"Sur appel | Aide-serveur, Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-04 13:30,"Sur appel | Aide-serveur, Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-04 14:00,"Sur appel | Aide-serveur, Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-04 14:30,"Sur appel | Aide-serveur, Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-04 15:00,"Sur appel | Aide-serveur, Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-04 15:30,"Sur appel | Aide-serveur, Aide-serveur, BS, Service, Passe Plat, Service_2, Hôtesse bookenda"
2023-06-04 16:00,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_2, Passe Plat_2, BS_2, Sur appel | Aide-serveur_2"
2023-06-04 16:30,"Aide-serveur, Hôtesse bookenda_2, Aide-serveur_2, Passe Plat_2, BS_2, Sur appel | Aide-serveur_2"
2023-06-04 17:00,"Aide-serveur, Hôtesse bookenda_2, Sur appel | Service | Serveur(se), Aide-serveur_2, Passe Plat_2, BS_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2"
2023-06-04 17:30,"Aide-serveur, Hôtesse bookenda_2, Sur appel | Service | Serveur(se), Aide-serveur_2, Passe Plat_2, BS_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2"
2023-06-04 18:00,"Aide-serveur, Hôtesse bookenda_2, Sur appel | Service | Serveur(se), Aide-serveur_2, Passe Plat_2, BS_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2"
2023-06-04 18:30,"Aide-serveur, Hôtesse bookenda_2, Sur appel | Service | Serveur(se), Aide-serveur_2, Passe Plat_2, BS_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2"
2023-06-04 19:00,"Aide-serveur, Hôtesse bookenda_2, Sur appel | Service | Serveur(se), Aide-serveur_2, Passe Plat_2, BS_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2"
2023-06-04 19:30,"Aide-serveur, Hôtesse bookenda_2, Sur appel | Service | Serveur(se), Aide-serveur_2, Passe Plat_2, BS_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2"
2023-06-04 20:00,"Hôtesse bookenda_2, Sur appel | Service | Serveur(se), Aide-serveur_2, Passe Plat_2, BS_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2"
2023-06-04 20:30,"Hôtesse bookenda_2, Sur appel | Service | Serveur(se), Aide-serveur_2, Passe Plat_2, BS_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2"
2023-06-04 21:00,"Hôtesse bookenda_2, Aide-serveur_2, Passe Plat_2, BS_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2"
