date,vente
2020-10-27,679.63
2020-10-26,495.63
2020-10-25,652.74
2020-10-24,843.85
2020-10-23,1800.05
2020-10-22,1678.28
2020-10-21,856.37
2020-10-20,635.21
2020-10-19,304.35
2020-10-18,674.04
2020-10-17,978.98
2020-10-16,1215.13
2020-10-15,1239.47
2020-10-14,958.48
2020-10-13,584.49
2020-10-12,969.59
2020-10-11,990.58
2020-10-10,1119.58
2020-10-09,1595.26
2020-10-08,1403.7
2020-10-07,886.03
2020-10-06,522.24
2020-10-05,658.11
2020-10-04,591.57
2020-10-03,437.03
2020-10-02,1510.87
2020-10-01,1092.11
2020-09-30,5594.56
2020-09-29,4707.4
2020-09-28,2923.63
2020-09-27,6830.12
2020-09-26,9676.14
2020-09-25,5931.38
2020-09-24,5547.88
2020-09-23,5204.76
2020-09-22,4142.59
2020-09-21,2135.8
2020-09-20,6634.14
2020-09-19,7628.38
2020-09-18,7905.32
2020-09-17,5200.3
2020-09-16,5087.64
2020-09-15,4461.43
2020-09-14,3334.58
2020-09-13,3763.04
2020-09-12,5596.79
2020-09-11,12019.55
2020-09-10,8022.35
2020-09-09,6071.77
2020-09-08,4283.66
2020-09-07,6861.18
2020-09-06,6183.02
2020-09-05,8470.9
2020-09-04,9561.58
2020-09-03,8628.4
2020-09-02,4520.98
2020-09-01,6040.59
2020-08-31,4419.66
2020-08-30,5024.26
2020-08-29,3368.72
2020-08-28,8636.39
2020-08-27,6179.32
2020-08-26,6001.99
2020-08-25,5826.05
2020-08-24,4281.16
2020-08-23,6580.09
2020-08-22,5950.46
2020-08-21,12380.24
2020-08-20,6254.54
2020-08-19,11889.12
2020-08-18,8216.61
2020-08-17,4556.24
2020-08-16,8938.85
2020-08-15,7721.13
2020-08-14,11355.71
2020-08-13,6940.14
2020-08-12,10781.97
2020-08-11,6664.81
2020-08-10,4223.05
2020-08-09,3341.36
2020-08-08,7242.05
2020-08-07,12476.42
2020-08-06,9563.93
2020-08-05,9724.21
2020-08-04,4790.98
2020-08-03,0.0
2020-08-02,3358.34
2020-08-01,9664.61
2020-07-31,6750.41
2020-07-30,7101.76
2020-07-29,3544.22
2020-07-28,6657.34
2020-07-27,2656.82
2020-07-26,4026.76
2020-07-25,4687.98
2020-07-24,7524.79
2020-07-23,5485.57
2020-07-22,4636.72
2020-07-21,4254.82
2020-07-20,2654.51
2020-07-19,2830.09
2020-07-18,4023.97
2020-07-17,6353.31
2020-07-16,5979.53
2020-07-15,4157.64
2020-07-14,3306.48
2020-07-13,4158.07
2020-07-12,3254.91
2020-07-11,4304.84
2020-07-10,6590.19
2020-07-09,5890.8
2020-07-08,4052.41
2020-07-07,3854.12
2020-07-06,5457.03
2020-07-05,2522.84
2020-07-04,6279.99
2020-07-03,5380.6
2020-07-02,4690.09
2020-07-01,4819.13
2020-06-30,5128.47
2020-06-29,3124.34
2020-06-28,0.0
2020-06-27,10414.82
2020-06-26,5745.01
2020-06-25,4759.77
2020-06-24,6815.87
2020-06-23,4821.17
2020-06-22,4349.96
2020-06-21,1288.4
2020-06-20,913.14
2020-06-19,1337.33
2020-06-18,1143.83
2020-06-17,817.64
2020-06-16,786.6
2020-06-15,899.92
2020-06-14,551.06
2020-06-13,1021.98
2020-06-12,1982.44
2020-06-11,0.0
2020-06-10,2042.41
2020-06-09,670.14
2020-06-08,1371.33
2020-06-07,492.5
2020-06-06,474.33
2020-06-05,1745.5
2020-06-04,1292.23
2020-06-03,1150.48
2020-06-02,1113.93
2020-06-01,1245.58
2020-05-31,1075.57
2020-05-30,894.75
2020-05-29,2386.96
2020-05-28,1941.74
2020-05-27,1082.84
2020-05-26,871.6
2020-05-25,842.88
2020-05-24,834.5
2020-05-23,1386.01
2020-05-22,2454.55
2020-05-21,1075.55
2020-05-20,1099.36
2020-05-19,570.15
2020-05-18,1274.1
2020-05-17,1102.82
2020-05-16,973.95
2020-05-15,1435.44
2020-05-14,1350.2
2020-05-13,1274.0
